datetime,Governorate,lat,lon,PM10,PM2_5,Nitrogen_Dioxide,Sulphur_Dioxide,Carbon_Monoxide,AQI_Level,date,hour,month,year,quarter,day_of_week,is_weekend,time_bucket,season,aqi_label,health_alert,pm25_exceeds_who,pollution_solar_penalty_pct
2003-01-01,Cairo,30.0,31.5,29.500996,19.710455,3.869136,4.93651,215.11195,2,2003-01-01,0,1,2003,1,2,0,Late Night,Winter,Fair,0,1,2.96
2003-02-01,Cairo,30.0,31.5,39.30967,25.08466,2.205925,3.9339056,192.73381,4,2003-02-01,0,2,2003,1,5,1,Late Night,Winter,Poor,1,1,3.76
2003-03-01,Cairo,30.0,31.5,39.49424,27.581564,3.2972288,4.371998,179.80437,4,2003-03-01,0,3,2003,1,5,1,Late Night,Spring,Poor,1,1,4.14
2003-04-01,Cairo,30.0,31.5,51.577103,34.059666,2.0462806,4.2160764,179.4855,4,2003-04-01,0,4,2003,2,1,0,Late Night,Spring,Poor,1,1,5.11
2003-05-01,Cairo,30.0,31.5,81.88584,58.512794,4.8884444,8.663619,236.10052,5,2003-05-01,0,5,2003,2,3,0,Late Night,Spring,Very Poor,1,1,8.78
2003-06-01,Cairo,30.0,31.5,42.174007,30.076649,4.0493097,7.4136324,213.13683,4,2003-06-01,0,6,2003,2,6,1,Late Night,Summer,Poor,1,1,4.51
2003-07-01,Cairo,30.0,31.5,17.436037,12.381605,6.9895635,8.483085,258.04025,2,2003-07-01,0,7,2003,3,1,0,Late Night,Summer,Fair,0,0,1.86
2003-08-01,Cairo,30.0,31.5,64.436165,45.409878,8.706918,10.747214,373.2236,4,2003-08-01,0,8,2003,3,4,0,Late Night,Summer,Poor,1,1,6.81
2003-09-01,Cairo,30.0,31.5,91.484085,65.0449,15.234498,16.531658,571.78485,5,2003-09-01,0,9,2003,3,0,0,Late Night,Autumn,Very Poor,1,1,9.76
2003-10-01,Cairo,30.0,31.5,78.90458,56.08075,9.77884,14.18789,398.26337,5,2003-10-01,0,10,2003,4,2,0,Late Night,Autumn,Very Poor,1,1,8.41
2003-11-01,Cairo,30.0,31.5,55.3365,39.23617,9.265757,11.246016,309.28455,4,2003-11-01,0,11,2003,4,5,1,Late Night,Autumn,Poor,1,1,5.89
2003-12-01,Cairo,30.0,31.5,39.377937,28.468094,10.101426,10.971007,284.427,4,2003-12-01,0,12,2003,4,0,0,Late Night,Winter,Poor,1,1,4.27
2003-01-02,Cairo,30.0,31.5,32.821674,21.22826,2.5751975,5.1981034,223.33646,3,2003-01-02,0,1,2003,1,3,0,Late Night,Winter,Moderate,0,1,3.18
