governorate,avg_clearness_index,avg_peak_sun_hours,avg_solar_radiation,avg_temp_penalty,avg_temp_max,avg_temp_range,avg_cloud_impact,avg_wind_speed,avg_humidity,hot_days_per_year,years_of_data,avg_aqi,avg_pm25,avg_pm10,score_ghi,score_clearness,score_temp,score_wind,score_humidity,score_air,solar_site_score,rank,investment_recommendation,grade
Alexandria,0.9036801112155355,5.412340975164591,5.412340975164591,1.5567133122414212,27.02772085665612,10.448429058165004,0.46415689981096403,3.245708201508883,63.316233876855684,0.002737892431248479,45,2.538754171301446,18.457576418242493,43.90472713519767,18.812199122767854,34.689340356196425,59.40692967570397,36.11133597214368,23.83717549952202,100.0,42.24,20,Not Recommended,D
Aswan,0.976258971130286,6.482965680203376,6.482965680203376,4.017882088099294,34.63200231199805,17.175584083718668,0.14917631836255782,3.108088342662448,25.936295327330253,0.32909467023606714,45,,,,100.0,99.83413905406458,0.0,29.379631558584553,100.0,74.86948983753234,74.14,3,Recommended,B
Asyut,0.9664009286724562,6.289504999674076,6.289504999674076,2.965776344609394,31.34657763446094,15.71681917741543,0.19805216087608368,2.982853492333901,33.931891579459716,0.12235337064979314,45,3.3699053978853644,25.671054646633277,87.18285994123408,85.32945565849084,90.98582988766714,25.666723926448014,23.253742448141416,83.70871601833205,0.7530893003344374,58.54,11,Neutral,D
Beheira,0.9302846129665252,5.7577025682810765,5.7577025682810765,2.320289608177172,29.34828972986128,13.592904599659285,0.37072701258066615,2.9268708931613534,58.90537417863227,0.0419201752251156,45,,,,45.00172017587032,58.56881315393695,41.277948960335706,20.515341805303418,32.82444370080391,74.86948983753234,48.58,15,Not Recommended,D
Beni Suef,0.950094810196769,6.030868496186689,6.030868496186689,2.5479283280603555,29.946918349963493,15.027750060842054,0.2732006257740695,3.057858968118764,42.64988987588221,0.06065952786566074,45,,,,65.71648685075458,76.34990412512505,36.60128246066353,26.92265111157406,65.94551468598738,74.86948983753234,60.98,9,Recommended,C
Cairo,0.9226129946011316,5.675692373378529,5.675692373378529,2.462524336821611,29.616847773180822,15.032069846678024,0.4226392021380614,2.8491196154782186,50.82255049890484,0.05378437576052567,45,3.076750139120757,26.07704507512521,69.34763578488113,38.7827086564137,51.682978426201466,39.179892899809275,16.712121663045735,49.29345636575929,35.75845638296457,39.29,23,Not Recommended,D
Dakahlia,0.8884026192593721,5.308729874193339,5.308729874193339,2.5588829398880506,30.099219396446824,14.651389024093454,0.5678738543771593,2.6468453394986615,57.68333292771964,0.07380141153565345,45,2.597365981092977,18.754300946021147,44.55118422224201,10.955143896286685,20.976681611466102,35.41146096193199,6.817832802595153,35.31439197084421,93.00122424623704,29.74,26,Not Recommended,D
Damietta,0.8884026192593721,5.308729874193339,5.308729874193339,0.649278413239231,23.824133000730104,4.416193112679484,0.5678738543771593,4.228102336334874,68.52135191044049,6.0842054027743974e-05,45,,,,10.955143896286685,20.976681611466102,84.43431978279182,84.16535222166004,13.231580448290316,74.86948983753234,41.0,22,Not Recommended,D
Fayoum,0.9524298731853131,5.962158653282055,5.962158653282055,2.446367729374544,29.643648089559502,14.844905086395716,0.26328723029789447,3.208197858359698,48.59546726697493,0.05080311511316622,45,,,,60.506069962564744,78.44579276975551,38.97052078230614,34.27650962768964,53.83120992885573,74.86948983753234,60.06,10,Recommended,C
Gharbia,0.9226129946011316,5.675692373378529,5.675692373378529,2.5588829398880506,30.099219396446824,14.651389024093454,0.4226392021380614,2.6468453394986615,57.68333292771964,0.07380141153565345,45,2.6427354229962603,19.26303016138008,47.690614148339414,38.7827086564137,51.682978426201466,35.41146096193199,6.817832802595153,35.31439197084421,87.58370598355516,44.81,18,Not Recommended,D
Giza,0.9226129946011316,5.675692373378529,5.675692373378529,2.462524336821611,29.616847773180822,15.032069846678024,0.4226392021380614,2.8491196154782186,50.82255049890484,0.05378437576052567,45,3.076750139120757,26.07704507512521,69.34763578488113,38.7827086564137,51.682978426201466,39.179892899809275,16.712121663045735,49.29345636575929,35.75845638296457,39.29,23,Not Recommended,D
Ismailia,0.925529920920708,5.790066586272081,5.790066586272081,2.1014437819420784,28.533233755171572,13.5383323192991,0.4132068965517241,2.8055652226819174,56.74043137016306,0.020564614261377463,45,,,,47.45595407863239,54.301131675350256,47.64541092955821,14.581649355673914,37.23558415670779,74.86948983753234,49.17,14,Not Recommended,D
Kafr El Sheikh,0.8939804886700473,5.383133302913761,5.383133302913761,2.5588829398880506,30.099219396446824,14.651389024093454,0.5298012124372596,2.6468453394986615,57.68333292771964,0.07380141153565345,45,,,,16.59731778514546,25.983224568302788,35.41146096193199,6.817832802595153,35.31439197084421,74.86948983753234,30.0,25,Not Recommended,D
Luxor,0.9738884526199655,6.369345166547162,6.369345166547162,3.410806157215868,32.76540703334145,16.635731321489413,0.16014632683658167,2.9486718179605744,28.962778656607448,0.2076539303966902,45,,,,91.38390923086779,97.70642650325034,14.5824027034475,21.581738638730986,93.83344308188308,74.86948983753234,71.79,4,Recommended,B
Matrouh,0.8650321634964204,5.164264233100841,5.164264233100841,0.31736614748113895,22.152711730348013,2.8697231686541738,0.6988941529235382,4.551818568994889,71.88227305913848,0.0,45,,,,0.0,0.0,97.4919645387354,100.0,6.383595739351293,74.86948983753234,36.17,24,Not Recommended,D
Minya,0.963875404078903,6.11415652825761,6.11415652825761,2.6942291311754683,30.461182161109758,15.365540277439766,0.20394222019425068,3.0309637381357994,39.32834205402774,0.08414456072036992,45,,,,72.03239954304152,88.71898811794546,32.5836991764383,25.6070652659147,72.71327497779926,74.86948983753234,65.27,8,Recommended,C
Monufia,0.9302846129665252,5.7577025682810765,5.7577025682810765,2.763116938427841,30.67234606960331,15.502583353614018,0.37072701258066615,2.6461103674860063,53.588341445607206,0.11152348503285471,45,,,,45.00172017587032,58.56881315393695,30.934023327958116,6.781881491622259,43.65806854403753,74.86948983753234,46.2,17,Not Recommended,D
New Valley,0.9764437594572284,6.4828675444886255,6.4828675444886255,2.672358238014115,30.32848259917255,15.018252007787781,0.14164386285118308,3.0717698953516672,31.738067047943538,0.07538330494037479,45,,,,99.9925581552241,100.0,33.62038799316569,27.603107050385407,88.17870391190047,74.86948983753234,78.44,1,Strongly Recommended,B
North Sinai,0.9398389683023217,5.9393307476696435,5.9393307476696435,1.743745436845948,26.991977975176443,13.502747627159893,0.3272835929861156,2.6832903382818203,59.68819542467754,0.00687515210513507,45,,,,58.77498021040219,67.14454106933053,59.6861637965003,8.600547602749902,31.229420287408047,74.86948983753234,56.61,12,Neutral,D
Port Said,0.902021206736748,5.306010794602699,5.306010794602699,0.204085543927963,21.831674981747383,1.285212947189097,0.48841845381656995,4.34554818690679,75.01527683134583,0.0,45,2.6949063222648415,17.73741569282137,44.24177410738135,10.74895017468168,33.20035308832618,100.0,89.91024076664382,0.0,81.35403271204812,46.6,16,Not Recommended,D
Qalyubia,0.9226129946011316,5.675692373378529,5.675692373378529,2.763116938427841,30.67234606960331,15.502583353614018,0.4226392021380614,2.6461103674860063,53.588341445607206,0.11152348503285471,45,2.8035169727323317,21.02599732888147,55.11365394889146,38.7827086564137,51.682978426201466,30.934023327958116,6.781881491622259,43.65806854403753,68.38494696301657,41.67,21,Not Recommended,D
Qena,0.9706951109401696,6.295181891662864,6.295181891662864,3.568074957410562,33.25928084692139,16.924954368459478,0.17471889707320248,2.7747815770260402,29.264799221221708,0.25091263081041615,45,,,,85.75994672993549,94.84017039026973,10.724112201666458,13.075860837475057,93.21806648815823,74.86948983753234,67.79,7,Recommended,C
Red Sea,0.9682154132088007,6.2172573821784765,6.2172573821784765,2.28175407641762,29.648254441469945,10.896084205402776,0.18812233883058466,4.1479240691165735,43.027960574348995,0.006327573618885374,45,,,,79.85076162548262,92.61446155809287,38.93453457826933,80.24341537454242,65.17518350371569,74.86948983753234,74.82,2,Recommended,B
Sharqia,0.9226129946011316,5.675692373378529,5.675692373378529,2.694784619128742,30.458014723777076,15.498063397420298,0.4226392021380614,2.507464711608664,53.49297335118034,0.0995984424434169,45,2.6746355043760492,18.967800556483027,46.85291915234619,38.7827086564137,51.682978426201466,32.60844414780473,0.0,43.85238409726282,83.7745501684042,43.56,19,Not Recommended,D
Sohag,0.972782817977719,6.313081402776872,6.313081402776872,3.3017200048673643,32.43208505719153,16.238653565344368,0.16213923473046082,3.0937685568264786,30.375960696033097,0.18337795083962036,45,,,,87.1173056039503,96.71403910164146,17.186414050580694,28.679176214993596,90.95403932060083,74.86948983753234,71.06,5,Recommended,B
South Sinai,0.9641485373001236,6.178339443321818,6.178339443321818,1.8374282063762473,27.23844548551959,13.687439766366513,0.20421013623622966,2.9518806278899974,35.34601606230226,0.004563154052080798,45,,,,76.89952964328002,88.96414502362039,57.760685611573905,21.738698253028165,80.82739199834023,74.86948983753234,70.82,6,Recommended,B
Suez,0.9566335202925518,6.062138830584708,6.062138830584708,2.0245522024823557,28.32964407398394,12.980287174495011,0.23979172153053904,2.9512898515453885,54.0107976393283,0.011803358481382331,45,3.3762122047299052,23.93904819143016,79.85476026177544,68.08778434699425,82.21887138961245,49.23591464040079,21.7098003035624,42.797300490636644,0.0,51.97,13,Neutral,D
