governorate,avg_solar_radiation,avg_peak_sun_hours,avg_temp_max,avg_wind_speed,avg_humidity,hot_days_pct,avg_clearness,avg_temp_penalty,avg_aqi,avg_pm25,avg_pm10,dust_storm_days,avg_pollution_penalty,score_ghi,score_clearness,score_temp,score_wind,score_humidity,score_air,solar_site_score,rank,grade,investment_reco
Alexandria,5.412340975164591,5.412340975164591,27.02772085665612,3.245708201508883,63.316233876855684,0.002737892431248479,0.9036806335962454,1.5567133122414212,2.5945744151319063,25.379003737781982,36.2429204254542,4,3.7757217521154804,18.812199122767854,34.689647877031476,59.40692967570397,36.11133597214368,23.83717549952202,76.24104200449861,38.67,22,D,Not Recommended
Aswan,6.482965680203376,6.482965680203376,34.63200231199805,3.108088342662448,25.936295327330253,0.32909467023606714,0.9762589400951698,4.017882088099294,3.3430811348929814,30.002244263378547,47.68614807988601,1,4.492162767546042,100.0,99.83420497079672,0.0,29.379631558584553,100.0,44.77690014123555,69.62,3,B,Recommended
Asyut,6.289504999674076,6.289504999674076,31.34657763446094,2.982853492333901,33.931891579459716,0.12235337064979314,0.9664012971774982,2.965776344609394,3.7788700846192134,36.558191114606146,59.11555787591339,6,5.456845445495271,85.32945565849084,90.98621976918938,25.666723926448014,23.253742448141416,83.70871601833205,26.458126275043156,62.39,7,B,Recommended
Beheira,5.7577025682810765,5.7577025682810765,29.34828972986128,2.9268708931613534,58.90537417863227,0.0419201752251156,0.930284766312496,2.320289608177172,3.0326032852165254,27.56045287303385,41.38137051142359,6,4.111536834245893,45.00172017587032,58.5688829579655,41.277948960335706,20.515341805303418,32.82444370080391,57.82811110529895,46.02,16,D,Not Recommended
Beni Suef,6.030868496186689,6.030868496186689,29.946918349963493,3.057858968118764,42.64988987588221,0.06065952786566074,0.9500952806205594,2.5479283280603555,3.4716276754604283,33.13640055221503,51.407811374079145,6,4.937798656047785,65.71648685075458,76.3503281673217,36.60128246066353,26.92265111157406,65.94551468598738,39.373332635873815,55.66,12,C,Neutral
Cairo,5.675692373378529,5.675692373378529,29.616847773180822,2.8491196154782186,50.82255049890484,0.05378437576052567,0.9226130239228212,2.462524336821611,3.7053260328521653,35.02746500394102,52.30443815540318,3,5.2374589347934295,38.7827086564137,51.682909941769005,39.179892899809275,16.712121663045735,49.29345636575929,29.549615525448544,38.36,23,D,Not Recommended
Dakahlia,5.308729874193339,5.308729874193339,30.099219396446824,2.6468453394986615,57.68333292771964,0.07380141153565345,0.8884024770223584,2.5588829398880506,3.42284718765555,31.80007206616476,47.21266842379045,3,4.748398456943753,10.955143896286685,20.976338883939782,35.41146096193199,6.817832802595153,35.31439197084421,41.42386357692105,22.0,26,D,Not Recommended
Damietta,5.308729874193339,5.308729874193339,23.824133000730104,4.228102336334874,68.52135191044049,6.0842054027743974e-05,0.8884024770223584,0.649278413239231,2.3674713787954205,20.824484936711798,30.87116391192969,4,3.1002103036336486,10.955143896286685,20.976338883939782,84.43431978279182,84.16535222166004,13.231580448290316,85.78751896218026,42.64,18,D,Not Recommended
Fayoum,5.962158653282055,5.962158653282055,29.643648089559502,3.208197858359698,48.59546726697493,0.05080311511316622,0.9524299915259761,2.446367729374544,3.4716276754604283,33.13640055221503,51.407811374079145,6,4.937798656047785,60.506069962564744,78.44590899873184,38.97052078230614,34.27650962768964,53.83120992885573,39.373332635873815,54.74,13,C,Neutral
Gharbia,5.675692373378529,5.675692373378529,30.099219396446824,2.6468453394986615,57.68333292771964,0.07380141153565345,0.9226130239228212,2.5588829398880506,3.0326032852165254,27.56045287303385,41.38137051142359,6,4.111536834245893,38.7827086564137,51.682909941769005,35.41146096193199,6.817832802595153,35.31439197084421,57.82811110529895,40.34,19,D,Not Recommended
Giza,5.675692373378529,5.675692373378529,29.616847773180822,2.8491196154782186,50.82255049890484,0.05378437576052567,0.9226130239228212,2.462524336821611,3.7053260328521653,35.02746500394102,52.30443815540318,3,5.2374589347934295,38.7827086564137,51.682909941769005,39.179892899809275,16.712121663045735,49.29345636575929,29.549615525448544,38.36,23,D,Not Recommended
Ismailia,5.790066586272081,5.790066586272081,28.533233755171572,2.8055652226819174,56.74043137016306,0.020564614261377463,0.9255301414510136,2.1014437819420784,2.9013190642110502,26.447600672596565,38.96078740780363,3,3.931161025385764,47.45595407863239,54.30124506877247,47.64541092955821,14.581649355673914,37.23558415670779,63.346759428780665,47.44,14,D,Not Recommended
Kafr El Sheikh,5.383133302913761,5.383133302913761,30.099219396446824,2.6468453394986615,57.68333292771964,0.07380141153565345,0.8939802294504922,2.5588829398880506,3.0326032852165254,27.56045287303385,41.38137051142359,6,4.111536834245893,16.59731778514546,25.98279644732797,35.41146096193199,6.817832802595153,35.31439197084421,57.82811110529895,27.44,25,D,Not Recommended
Luxor,6.369345166547162,6.369345166547162,32.76540703334145,2.9486718179605744,28.962778656607448,0.2076539303966902,0.9738884557721139,3.410806157215868,3.313464410154306,29.306520680731705,45.81718618267048,2,4.386752115480339,91.38390923086779,97.70651477282446,14.5824027034475,21.581738638730986,93.83344308188308,46.021865355442785,67.47,4,B,Recommended
